l_deg,v_r_kms,amp,R_kpc,r_kpc,x_kpc,y_kpc,arm
75.0,5.2922728,74.27839630522033,8.293456591579004,3.3709676582044863,-3.256104720644894,-7.627529369632034,Local (Orion spur)
75.0,5.2922728,74.27839630522033,8.293456591579004,1.0289561085383663,-0.9938952793551057,-8.233686562535695,Local (Orion spur)
70.0,7.8909336,73.07826851734875,8.187485317666724,4.706215497694096,-4.422395975011423,-6.890379500957182,Sagittarius-Carina
70.0,7.8909336,73.07826851734875,8.187485317666724,1.1081269388422732,-1.0412987073241617,-8.120998265554132,Sagittarius-Carina
65.0,12.2723945,62.53437193456854,8.007156287459468,5.776024766637635,-5.234856224120237,-6.058946453352373,Sagittarius-Carina
65.0,12.2723945,62.53437193456854,8.007156287459468,1.4084856829542551,-1.2765215423910754,-7.904748228983211,Sagittarius-Carina
60.0,13.2739793,56.17652951182659,7.946373586147139,7.242883754945547,-6.272521328440468,-4.878558122527226,Sagittarius-Carina
60.0,13.2739793,56.17652951182659,7.946373586147139,1.2571162450544553,-1.088694603727262,-7.871441877472773,Sagittarius-Carina
55.0,10.888024999999999,45.20519781617518,8.015711678184681,8.846691190372095,-7.246785173786716,-3.425746393528179,Sagittarius-Carina
55.0,10.888024999999999,45.20519781617518,8.015711678184681,0.9041082275956898,-0.7406021028935064,-7.981424824740004,Sagittarius-Carina
50.0,9.231520699999999,39.405406282101815,8.058576997632983,10.211601885363205,-7.8225408796257625,-1.936108833036827,Sagittarius-Carina
50.0,9.231520699999999,39.405406282101815,8.058576997632983,0.7157874793079646,-0.5483250209780067,-8.03990067713208,Sagittarius-Carina
50.0,48.3932558,41.12901691522959,6.603739063258731,6.5642986971344754,-5.028544539913012,-4.280550131200466,Scutum-Centaurus
50.0,48.3932558,41.12901691522959,6.603739063258731,4.363090667536694,-3.342321360690757,-5.695459378968441,Scutum-Centaurus
45.0,60.860563,34.44254310545303,6.109716785723507,7.1075125583827115,-5.025770327400962,-3.474229672599037,Scutum-Centaurus
45.0,60.860563,34.44254310545303,6.109716785723507,4.913302721788598,-3.474229672599038,-5.025770327400961,Scutum-Centaurus
100.0,-60.8501325,25.919368635367487,11.819646893607286,6.868608921111784,-6.764259317919703,-9.69272142225788,Perseus arm
100.0,-1.076958,47.032769170303304,8.542462711068815,0.2275964431284645,-0.22413874175091392,-8.539521707592733,Local (Orion spur)
110.0,-5.010174699999999,47.11967956870391,8.71111451567851,0.5692005394113298,-0.5348735466321852,-8.694678050070511,Local (Orion spur)
120.0,-46.5749317,32.11389708706351,11.250157083933239,4.257557488090999,-3.687152942759468,-10.628778744045498,Perseus arm
120.0,-4.3214807,41.25843638552472,8.69727054530852,0.38195584373287783,-0.3307834637965915,-8.69097792186644,Local (Orion spur)
125.0,-48.9435617,31.890476769806696,11.669198059435322,4.488878462487164,-3.677073969111186,-11.07471491172635,Perseus arm
125.0,-6.6901107,45.196937943298146,8.827713501039296,0.5512058579236294,-0.4515214053422085,-8.816158691683656,Local (Orion spur)
130.0,-51.3697329,38.83243707573352,12.226891118830487,4.8851615836253055,-3.7422508848744718,-11.640121337271019,Outer arm
130.0,-6.024566,41.70071237169965,8.815121038468089,0.4783856355854761,-0.36646465780819437,-8.807500359206363,Local (Orion spur)
135.0,-46.6130641,46.43291736363767,12.136617615848232,4.533428813184931,-3.2056182558295467,-11.705618255829545,Outer arm
135.0,-4.3596131,47.332678518976806,8.745077782750293,0.3418663957500785,-0.24173604669468443,-8.741736046694685,Local (Orion spur)
140.0,-41.8615852,56.42326657247405,12.074258538662118,4.2559691526082215,-2.735684238504686,-11.760261519441313,Outer arm
140.0,-5.7915659999999995,53.931217825342955,8.862982531914692,0.46719657064687325,-0.3003081668998521,-8.85789333678828,Local (Orion spur)
145.0,-35.025646099999996,60.9134260900305,11.765842158296456,3.7454063222783844,-2.148276811019113,-11.568057245587253,Perseus arm
145.0,-5.1390588,53.602793714481244,8.86086583354722,0.4362224902514509,-0.2502069414146061,-8.85733254465431,Local (Orion spur)
150.0,-33.2953017,67.20244890822593,12.189605339989976,4.063493182059737,-2.031746591029868,-12.019088323768598,Outer arm
150.0,-7.5310024,53.64834650258277,9.124711101887465,0.7133027960852658,-0.35665139804263285,-9.117738342000312,Local (Orion spur)
155.0,-31.4908255,62.42867772660724,12.853438733489934,4.637639405771348,-1.9599511042472577,-12.703128706918594,Outer arm
160.0,-21.3418788,54.387582706057316,11.865443019055634,3.5163987760125694,-1.2026792133620257,-11.804333981559612,Perseus arm
165.0,-18.282253100000002,55.59993832854164,12.519851138546375,4.114679776366177,-1.0649574906217487,-12.474475462901419,Outer arm
170.0,-7.8595112,76.66049937753846,10.70168248694386,2.2285399307271483,-0.38698189782875636,-10.694683401677384,Perseus arm
175.0,-4.4805575,82.0267005162861,11.091908331197496,2.5994860929376973,-0.22656014119219303,-11.08959426354776,Perseus arm
